ap_item_id,vendor_id,vendor_name,invoice_number,amount,currency,due_date,status,payment_method,description
AP-032,V-032,Schneider Electric,INV-SCH-6684,185000,EUR,2026-04-24,OPEN,WIRE,Electrical distribution systems
AP-033,V-033,Caterpillar Inc,INV-CAT-2297,550000,USD,2026-04-27,OPEN,WIRE,Heavy machinery purchase
AP-034,V-034,AstraZeneca PLC,INV-AZN-5519,195000,GBP,2026-04-28,OPEN,WIRE,Pharmaceutical supplies
AP-035,V-035,3M Company,INV-3MC-9941,385000,USD,2026-04-29,OPEN,WIRE,Industrial materials and supplies
AP-036,V-036,L'Oreal SA,INV-LOR-7758,125000,EUR,2026-04-28,OPEN,WIRE,Marketing and promotional materials
AP-037,V-037,KPMG LLP,INV-KPM-4465,420000,USD,2026-04-30,OPEN,WIRE,Annual audit services
AP-038,V-038,Lufthansa AG,INV-LHA-1183,95000,EUR,2026-04-29,OPEN,ACH,Corporate travel services
AP-039,V-039,EY Global,INV-EYG-8896,355000,USD,2026-04-30,OPEN,WIRE,Tax advisory services
AP-040,V-040,Tesco PLC,INV-TSC-3374,65000,GBP,2026-04-30,OPEN,ACH,Corporate catering services
AP-041,V-041,Palo Alto Networks,INV-PAN-5501,680000,USD,2026-04-10,OPEN,WIRE,Cybersecurity platform renewal
AP-042,V-042,ServiceNow Inc,INV-SNW-5502,520000,USD,2026-04-11,OPEN,WIRE,ITSM platform annual license
AP-043,V-043,Snowflake Inc,INV-SNF-5503,445000,USD,2026-04-11,OPEN,WIRE,Data cloud services Q1
AP-044,V-044,Palo Alto Networks,INV-PAN-5504,390000,USD,2026-04-12,OPEN,WIRE,Security operations center setup
AP-045,V-045,ServiceNow Inc,INV-SNW-5505,285000,USD,2026-04-12,OPEN,WIRE,IT workflow automation module
AP-046,V-046,Waste Management Inc,INV-WMI-5506,42000,USD,2026-04-16,OPEN,ACH,Quarterly waste services (2/10 net 30 discount available)
AP-047,V-047,Office Depot,INV-OFD-5507,28000,USD,2026-04-19,OPEN,ACH,Office supplies bulk order (2/10 net 30 discount available)
AP-048,V-048,Staples Inc,INV-STP-5508,35000,USD,2026-04-23,OPEN,ACH,Printer supplies and paper (2/10 net 30 discount available)
AP-049,V-049,AT&T Services,INV-ATT-5509,155000,USD,2026-04-26,OPEN,WIRE,Enterprise communications Q1
AP-050,V-050,Verizon Business,INV-VZB-5510,195000,USD,2026-04-28,OPEN,WIRE,5G infrastructure services
AP-051,V-051,Infineon Technologies,INV-IFX-5511,285000,EUR,2026-04-06,OPEN,WIRE,Semiconductor components
AP-052,V-052,Continental AG,INV-CON-5512,195000,EUR,2026-04-09,OPEN,WIRE,Automotive parts supply
AP-053,V-053,RWE Energy,INV-RWE-5513,145000,EUR,2026-04-15,OPEN,WIRE,Renewable energy procurement
AP-054,V-054,Deutsche Post,INV-DPO-5514,55000,EUR,2026-04-21,OPEN,ACH,Logistics and shipping services
AP-055,V-055,Bosch Group,INV-BSH-5515,82000,EUR,2026-04-25,OPEN,WIRE,IoT sensor equipment
AP-056,V-056,Aviva PLC,INV-AVI-5516,175000,GBP,2026-04-08,OPEN,WIRE,Employee benefits insurance
AP-057,V-057,Legal & General,INV-LGL-5517,95000,GBP,2026-04-16,OPEN,WIRE,Pension fund management
AP-058,V-058,Royal Mail,INV-RML-5518,32000,GBP,2026-04-23,OPEN,ACH,Postal and courier services (2/10 net 30)
AP-059,V-059,British Gas,INV-BGS-5519,48000,GBP,2026-04-27,OPEN,ACH,Energy costs Q1
AP-060,V-060,Toyota Tsusho,INV-TTS-5520,120000000,JPY,2026-04-10,OPEN,WIRE,Automotive components bulk order
AP-061,V-061,Mitsui & Co,INV-MIT-5521,135000000,JPY,2026-04-11,OPEN,WIRE,Industrial materials procurement
AP-062,V-062,Marubeni Corp,INV-MRB-5522,95000000,JPY,2026-04-12,OPEN,WIRE,Infrastructure project materials
AP-063,V-063,Denso Corp,INV-DNS-5523,45000000,JPY,2026-04-18,OPEN,WIRE,Electronic components supply
AP-064,V-064,Nippon Steel,INV-NST-5524,68000000,JPY,2026-04-24,OPEN,WIRE,Steel materials for construction
AP-065,V-065,FANUC Corporation,INV-FNC-5525,22000000,JPY,2026-04-28,OPEN,LOCAL,Robotics maintenance contract
AP-066,V-066,Keyence Corp,INV-KEY-5526,18000000,JPY,2026-04-30,OPEN,LOCAL,Sensor equipment (2/10 net 30)
AP-067,V-067,Murata Manufacturing,INV-MUR-5527,12000000,JPY,2026-04-15,OPEN,LOCAL,Capacitor components order
AP-068,V-068,Holcim Group,INV-HLC-5528,195000,CHF,2026-04-07,OPEN,WIRE,Construction materials
AP-069,V-069,Kuehne+Nagel,INV-KNL-5529,125000,CHF,2026-04-14,OPEN,WIRE,International freight services
AP-070,V-070,Swisscom AG,INV-SWC-5530,85000,CHF,2026-04-20,OPEN,WIRE,Telecom infrastructure
AP-071,V-071,Sika AG,INV-SKA-5531,65000,CHF,2026-04-26,OPEN,WIRE,Chemical construction products
AP-072,V-072,Georg Fischer AG,INV-GFA-5532,42000,CHF,2026-04-29,OPEN,LOCAL,Piping systems (2/10 net 30)
AP-073,V-073,Singapore Power,INV-SPW-5533,165000,SGD,2026-04-06,OPEN,WIRE,Electricity and utilities Q1
AP-074,V-074,ST Engineering,INV-STE-5534,220000,SGD,2026-04-13,OPEN,WIRE,Engineering services contract
AP-075,V-075,StarHub Ltd,INV-STH-5535,45000,SGD,2026-04-19,OPEN,LOCAL,Telecom services
AP-076,V-076,Olam Group,INV-OLM-5536,85000,SGD,2026-04-24,OPEN,WIRE,Agricultural commodity supply
AP-077,V-077,SMRT Corporation,INV-SMR-5537,35000,SGD,2026-04-28,OPEN,LOCAL,Transport services (2/10 net 30)
AP-078,V-078,Frasers Property,INV-FRP-5538,95000,SGD,2026-04-30,OPEN,WIRE,Office space lease Q1
AP-079,V-079,AGL Energy,INV-AGL-5539,185000,AUD,2026-04-05,OPEN,WIRE,Energy procurement Q1
AP-080,V-080,Qantas Airways,INV-QAN-5540,125000,AUD,2026-04-11,OPEN,WIRE,Corporate travel program
AP-081,V-081,Telstra Corp,INV-TLS-5541,95000,AUD,2026-04-17,OPEN,WIRE,Telecommunications services
AP-082,V-082,Lendlease Group,INV-LDL-5542,220000,AUD,2026-04-21,OPEN,WIRE,Construction project milestone
AP-083,V-083,Origin Energy,INV-ORG-5543,65000,AUD,2026-04-25,OPEN,ACH,Natural gas supply
AP-084,V-084,Boral Limited,INV-BRL-5544,38000,AUD,2026-04-29,OPEN,LOCAL,Building materials (2/10 net 30)
